company_id,year,pattern
ABB,Dec 2012,Cash Cow / Self-Sustaining
ABB,Mar 2014,Cash Cow / Self-Sustaining
ABB,Mar 2014,Cash Cow / Self-Sustaining
ABB,Mar 2015,Cash Cow / Self-Sustaining
ABB,Mar 2015,Distress Signal
ABB,Mar 2016,Cash Cow / Self-Sustaining
ABB,Mar 2016,Cash Cow / Self-Sustaining
ABB,Mar 2017,Cash Cow / Self-Sustaining
ABB,Mar 2017,Cash Cow / Self-Sustaining
ABB,Mar 2018,Cash Cow / Self-Sustaining
ABB,Mar 2018,Reinvestor
ABB,Mar 2019,Cash Cow / Self-Sustaining
ABB,Mar 2019,Reinvestor
ABB,Mar 2020,Cash Cow / Self-Sustaining
ABB,Mar 2020,Reinvestor
ABB,Mar 2021,Cash Cow / Self-Sustaining
ABB,Mar 2021,Cash Cow / Self-Sustaining
ABB,Mar 2022,Cash Cow / Self-Sustaining
ABB,Mar 2022,Cash Cow / Self-Sustaining
ABB,Mar 2023,Cash Cow / Self-Sustaining
ABB,Mar 2023,Reinvestor
ABB,Mar 2024,Cash Cow / Self-Sustaining
ABB,Mar 2024,Cash Cow / Self-Sustaining
ADANIENSOL,Mar 2014,Cash Cow / Self-Sustaining
ADANIENSOL,Mar 2015,Distress Signal
ADANIENSOL,Mar 2016,Cash Cow / Self-Sustaining
ADANIENSOL,Mar 2017,Cash Cow / Self-Sustaining
ADANIENSOL,Mar 2018,Reinvestor
ADANIENSOL,Mar 2019,Reinvestor
ADANIENSOL,Mar 2020,Reinvestor
ADANIENSOL,Mar 2021,Cash Cow / Self-Sustaining
ADANIENSOL,Mar 2022,Cash Cow / Self-Sustaining
ADANIENSOL,Mar 2023,Reinvestor
ADANIENSOL,Mar 2024,Cash Cow / Self-Sustaining
ADANIENT,Mar 2013,Reinvestor
ADANIENT,Mar 2014,Cash Cow / Self-Sustaining
ADANIENT,Mar 2015,Reinvestor
ADANIENT,Mar 2016,Cash Cow / Self-Sustaining
ADANIENT,Mar 2017,Reinvestor
ADANIENT,Mar 2018,Reinvestor
ADANIENT,Mar 2019,Deleveraging
ADANIENT,Mar 2020,Cash Cow / Self-Sustaining
ADANIENT,Mar 2021,Reinvestor
ADANIENT,Mar 2022,Reinvestor
ADANIENT,Mar 2023,Cash Cow / Self-Sustaining
ADANIENT,Mar 2024,Reinvestor
ADANIGREEN,Mar 2017,Reinvestor
ADANIGREEN,Mar 2018,Reinvestor
ADANIGREEN,Mar 2018,Reinvestor
ADANIGREEN,Mar 2019,Reinvestor
ADANIGREEN,Mar 2019,Deleveraging
ADANIGREEN,Mar 2020,Reinvestor
ADANIGREEN,Mar 2020,Cash Cow / Self-Sustaining
ADANIGREEN,Mar 2021,Reinvestor
ADANIGREEN,Mar 2021,Reinvestor
ADANIGREEN,Mar 2022,Reinvestor
ADANIGREEN,Mar 2022,Reinvestor
ADANIGREEN,Mar 2023,Cash Cow / Self-Sustaining
ADANIGREEN,Mar 2023,Reinvestor
ADANIGREEN,Mar 2024,Reinvestor
ADANIGREEN,Mar 2024,Cash Cow / Self-Sustaining
ADANIPORTS,Mar 2013,Reinvestor
ADANIPORTS,Mar 2014,Reinvestor
ADANIPORTS,Mar 2015,Cash Cow / Self-Sustaining
ADANIPORTS,Mar 2016,Reinvestor
ADANIPORTS,Mar 2017,Cash Cow / Self-Sustaining
ADANIPORTS,Mar 2018,Cash Cow / Self-Sustaining
ADANIPORTS,Mar 2019,Reinvestor
ADANIPORTS,Mar 2020,Cash Cow / Self-Sustaining
ADANIPORTS,Mar 2021,Reinvestor
ADANIPORTS,Mar 2022,Cash Cow / Self-Sustaining
ADANIPORTS,Mar 2023,Cash Cow / Self-Sustaining
ADANIPORTS,Mar 2024,Cash Cow / Self-Sustaining
ADANIPOWER,Mar 2013,Reinvestor
ADANIPOWER,Mar 2014,Reinvestor
ADANIPOWER,Mar 2015,Cash Cow / Self-Sustaining
ADANIPOWER,Mar 2016,Cash Cow / Self-Sustaining
ADANIPOWER,Mar 2017,Cash Cow / Self-Sustaining
ADANIPOWER,Mar 2018,Cash Cow / Self-Sustaining
ADANIPOWER,Mar 2019,Cash Cow / Self-Sustaining
ADANIPOWER,Mar 2020,Cash Cow / Self-Sustaining
ADANIPOWER,Mar 2021,Cash Cow / Self-Sustaining
ADANIPOWER,Mar 2022,Deleveraging
ADANIPOWER,Mar 2023,Deleveraging
ADANIPOWER,Mar 2024,Deleveraging
AMBUJACEM,Dec 2012,Cash Cow / Self-Sustaining
AMBUJACEM,Dec 2013,Cash Cow / Self-Sustaining
AMBUJACEM,Dec 2014,Cash Cow / Self-Sustaining
AMBUJACEM,Dec 2015,Cash Cow / Self-Sustaining
