id_x,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,id_market,market_cap_crore,enterprise_value_crore,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct,id_pl,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,id_cf,operating_activity,investing_activity,financing_activity,net_cash_flow,id_bs,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,id_y,broad_sector,sub_sector,index_weight_pct,market_cap_category,id,company_logo,company_name,chart_link,about_company,website,nse_profile,bse_profile,face_value,book_value,roce_percentage,roe_percentage,revenue_cagr,pat_cagr,free_cash_flow_cagr,cfo_pat_ratio,eps_cagr,composite_score,rank
579,IRCTC,2023,28.41,36.04,40.6,0.03,89.0,0.7,495.0,317.0,13.0,44.0,44.0,84.0,812.0,305.0,1359334.39,1302404.03,22.05,11.74,14.17,2.02,744,3541.0,2265.0,1276.0,36.0,148.0,16.0,54.0,1354.0,26.0,1006.0,13.0,44.0,689.0,812.0,-317.0,-434.0,61.0,816,160.0,2318.0,84.0,2526.0,5089.0,351.0,34.0,0.0,4704.0,5089.0,51,Consumer Discretionary,Travel & Tourism,3.97,Mid Cap,IRCTC,https://mkt.in/static/mkt-icons/nifty100/IRCTC.png,Indian Railway Catering & Tourism Corporation Ltd,https://in.tradingview.com/chart/?symbol=NSE%3AIRCTC,"Incorporated in 1999, IRCTC is a Mini Ratna (Category 1, Central Public Sector Enterprises ) and the only company authorized by the Indian government to provide online railway tickets, catering services, and packaged drinking water
at railway stations and trains in India",http://www.irctc.com/,https://www.nseindia.com/get-quotes/equity?symbol=IRCTC,https://www.bseindia.com/stock-share-price/indian-railway-catering-tourism-corporation-ltd/IRCTC/542830/,2.0,44.0,53.8,40.4,16.75656887152892,26.81198686210522,45.37464474156747,0.8071570576540755,0.826821355230245,89.38392745782409,1
10,ABB,2022,16.26,22.02,28.33,0.05,61.32,1.16,552.0,396.0,376.0,1657.0,73.0,152.0,948.0,4.0,1185994.82,1158637.42,18.68,4.75,6.12,3.35,70,4913.0,3832.0,1082.0,22.0,83.0,19.0,66.0,1080.0,26.0,799.0,376.0,73.0,81.0,4097.0,-3936.0,-235.0,-75.0,145,21.0,2799.0,152.0,1253.0,4224.0,271.0,1.0,0.0,3952.0,4224.0,1,Industrials,Capital Goods,0.81,Large Cap,ABB,https://mkt.in/static/mkt-icons/nifty100/ABB.png,Abbott India Ltd,https://in.tradingview.com/chart/?symbol=NSE%3AABBOTINDIA,Abbott India Ltd is one of the leading multinational pharmaceutical companies in India and sells its products through independent distributors primarily within India.,https://www.abbott.co.in/,https://www.nseindia.com/get-quotes/equity?symbol=ABBOTINDIA,https://www.bseindia.com/stock-share-price/abbott-india-ltd/ABBOTINDIA/500488/,10.0,1657.0,46.0,34.9,12.1738707400457,21.191023990902647,30.677501093386518,5.127659574468085,21.225644906965012,79.84691436811538,2
1055,INDIGO,2024,11.85,76.3,892.57,0.02,22.61,56.39,9424.0,11759.0,212.0,97.0,0.0,17.0,21183.0,282.0,1040632.92,1061542.29,76.23,7.87,24.64,4.27,1373,68904.0,4805.0,52573.0,16331.0,24.0,2326.0,6406.0,8043.0,-2.0,8167.0,212.0,0.0,644.0,21183.0,-11759.0,-9979.0,-555.0,769,48.0,905.0,20.0,266.0,1239.0,570.0,64.0,178.0,427.0,1239.0,47,Consumer Discretionary,Airlines,3.03,Large Cap,INDIGO,https://rb.gy/rv6gr8,Interglobe Aviation Ltd,https://in.tradingview.com/chart/?symbol=NSE%3AINDIGO,"Interglobe Aviation Ltd (Indigo) is India's largest passenger airline operating as a low-cost carrier. Serving 86 destinations including 24 international destinations, it provides passengers with a simple, unbundled product, fulfilling its singular brand promise of providing \""low fares, on-time flights, and a courteous and hassle-free service\"" to its customers. IndiGo commenced operations in August 2006 with a single aircraft and has grown its fleet to 262 aircrafts.",http://www.goindigo.in/,https://www.nseindia.com/get-quotes/equity?symbol=INDIGO,https://www.bseindia.com/stock-share-price/interglobe-aviation-ltd/INDIGO/539448/,10.0,97.0,24.5,,20.083457250362848,23.700547063638933,,2.5937308681278317,-35.335850219780816,72.2209720896724,3
416,HAL,2024,25.0,32.09,3816.58,0.62,270.88,67.51,1814.0,6412.0,114.0,465.0,31.0,123.0,8226.0,216.0,2643616.86,3140281.78,71.89,3.65,8.76,2.77,540,30381.0,20631.0,9749.0,32.0,1899.0,43.0,1406.0,10199.0,26.0,7595.0,114.0,31.0,513.0,8226.0,-6412.0,-1999.0,-185.0,616,5.0,202.0,124.0,145.0,476.0,244.0,3.0,48.0,181.0,476.0,36,Industrials,Defence & Aerospace,1.6,Large Cap,HAL,https://mkt.in/static/mkt-icons/nifty100/HAL.png,Hindustan Aeronautics Ltd,https://in.tradingview.com/chart/qGsydD2w/?symbol=NSE%3AAMBUJACEM.T0,"Hindustan Aeronautics is engaged in the business of Manufacture of Aircraft and Helicopters and Repair, Maintenance of Aircraft and Helicopters",https://hal-india.co.in/,https://www.nseindia.com/get-quotes/equity?symbol=HAL,https://www.bseindia.com/stock-share-price/hindustan-aeronautics-ltd/HAL/541154/,5.0,465.0,38.9,28.9,7.720282781323262,18.165728505247316,,1.0830809743252139,19.184108556600755,72.04555511001459,4
982,TCS,2023,18.76,26.28,46.78,0.09,80.5,1.58,41417.0,548.0,115.0,281.0,100.0,7688.0,41965.0,521.0,405916.42,410957.48,8.74,13.8,29.01,3.1,1195,225458.0,166199.0,59259.0,26.0,3449.0,779.0,5022.0,56907.0,26.0,42303.0,115.0,100.0,1108.0,41965.0,548.0,-47878.0,-5365.0,1424,366.0,90058.0,7688.0,44747.0,142859.0,20515.0,1234.0,37163.0,83947.0,142859.0,87,Information Technology,IT Services,1.1,Large Cap,TCS,https://images.5paisa.com/MarketIcons/TCS.png,Tata Consultancy Services Ltd,https://www.tradingview.com/chart/?symbol=NSE%3ATCS,"Tata Consultancy Services is the flagship company and a part of Tata group. It is an IT services, consulting and business solutions organization that has been partnering with many of the world's largest businesses in their transformation journeys for over 50 years. TCS offers a consulting-led, cognitive powered, integrated portfolio of business, technology and engineering services and solutions.",https://www.tcs.com/,https://www.nseindia.com/get-quotes/equity?symbol=TCS,https://www.bseindia.com/stock-share-price/tata-consultancy-services-ltd/TCS/532540/,1.0,281.0,64.3,0.52,12.969173527526845,11.387761678665665,19.12910655392772,0.9920100229298159,12.143172548893544,69.29641485065808,5
250,BRITANNIA,2023,14.21,17.37,65.53,0.85,20.28,1.74,1019.0,1507.0,96.0,133.0,75.0,2997.0,2526.0,131.0,285063.86,344785.02,25.49,4.57,25.98,4.06,357,16301.0,13470.0,2831.0,17.0,597.0,169.0,226.0,3033.0,24.0,2316.0,96.0,75.0,348.0,2526.0,-1507.0,-1028.0,-9.0,436,24.0,3510.0,2997.0,2819.0,9351.0,2655.0,105.0,3324.0,3266.0,9351.0,22,Consumer Staples,Food Products,0.66,Large Cap,BRITANNIA,https://mkt.in/static/mkt-icons/nifty100/BRITANNIA.png,Britannia Industries Ltd,https://in.tradingview.com/chart/qGsydD2w/?symbol=NSE%3AAMBUJACEM.T0,"Britannia Industries is one of Indias leading food companies with a 100 year legacy and annual revenues in excess of Rs. 9000 Cr. Britannia is among the most trusted food brands, and manufactures Indias favorite brands like Good Day, Tiger, NutriChoice, Milk Bikis and Marie Gold which are household names in India. Britannias product portfolio includes Biscuits, Bread, Cakes, Rusk, and Dairy products including Cheese, Beverages, Milk and Yoghurt.",https://www.britannia.co.in/,https://www.nseindia.com/get-quotes/equity?symbol=BRITANNIA,https://www.bseindia.com/stock-share-price/britannia-industries-ltd/BRITANNIA/500825/,1.0,133.0,48.9,57.1,9.49111037408743,21.090760318638814,19.624172867078293,1.0906735751295338,20.93310705080047,68.13120273705573,6
199,BEL,2020,14.07,21.28,3318.18,0.8,357.25,106.3,1921.0,649.0,3.0,24.0,37.0,44.0,2570.0,98.0,902791.12,1056022.12,59.94,4.28,25.39,3.79,302,12968.0,10209.0,2759.0,21.0,99.0,8.0,372.0,2478.0,28.0,1825.0,3.0,37.0,285.0,2570.0,-649.0,-1061.0,861.0,368,11.0,44.0,44.0,23.0,122.0,14.0,0.0,0.0,108.0,122.0,17,Industrials,Defence Electronics,3.65,Large Cap,BEL,https://mkt.in/static/mkt-icons/nifty100/BEL.png,Bharat Electronics Ltd,https://in.tradingview.com/chart/?symbol=NSE%3ABEL,"Incorporated in 1954, Bharat Electronics Ltd manufactures and supplies electronic equipment and systems to the defence sector. Company also has a limited presence in the civilian market",http://www.bel-india.in/,https://www.nseindia.com/get-quotes/equity?symbol=BEL,https://www.bseindia.com/stock-share-price/bharat-electronics-ltd/BEL/500049/,1.0,24.0,34.6,26.3,11.250824192187213,14.357470570225338,,1.4082191780821918,15.755791177065447,66.74434621163914,7
696,LTIM,2024,12.91,17.98,22.9,0.1,31.93,1.29,1752.0,3918.0,155.0,711.0,42.0,2071.0,5670.0,372.0,1347046.9,1647384.23,64.52,2.38,18.9,4.43,872,35517.0,29130.0,6387.0,18.0,702.0,222.0,819.0,6049.0,24.0,4585.0,155.0,42.0,809.0,5670.0,-3918.0,-2269.0,-518.0,961,30.0,21045.0,2326.0,5361.0,28761.0,5450.0,498.0,9664.0,13149.0,28761.0,62,Information Technology,IT Services,2.64,Large Cap,LTIM,,LTIMindtree Ltd,https://mkt.in/static/mkt-icons/nifty100/ABB.png,"LTIMindtree Limited is an Indian multinational information technology services and consulting company based in Mumbai. A subsidiary of Larsen & Toubro, the company was incorporated in 1996 and employs more than 81,000 people",https://www.ltimindtree.com/,https://www.nseindia.com/get-quotes/equity?symbol=LTIM,https://www.bseindia.com/stock-share-price/ltimindtree-ltd/ltim/540005/,1.0,711.0,34.1,26.04,22.38122500495996,21.02441783355038,14.796205839600551,1.2366412213740459,-1.0456778502113573,65.41046218230038,8
522,ICICIGI,2024,9.37,87.42,15.72,0.0,160.03,0.32,486.0,1921.0,39.0,275.0,28.0,35.0,2407.0,270.0,1271789.21,1382030.89,49.0,7.86,36.96,3.46,656,20487.0,0.0,17910.0,2577.0,13.0,112.0,134.0,2555.0,25.0,1919.0,39.0,28.0,620.0,2407.0,-1921.0,-355.0,131.0,743,495.0,13130.0,0.0,54389.0,68014.0,760.0,0.0,51557.0,15697.0,68014.0,45,Financials,General Insurance,3.51,Large Cap,ICICIGI,https://mkt.in/static/mkt-icons/nifty100/ICICIGI.png,ICICI Lombard General Insurance Company Ltd,https://in.tradingview.com/chart/?symbol=NSE%3AICICIGI,ICICI Lombard General Insurance Co. Ltd is one of the leading and established private sector general insurance companies in India. It offers a well-diversified range of products and risk management solutions through multiple distribution channels,http://www.icicilombard.com/,https://www.nseindia.com/get-quotes/equity?symbol=ICICIGI,https://www.bseindia.com/stock-share-price/icici-lombard-general-insurance-company-ltd/ICICIGI/540716/,10.0,275.0,22.5,17.0,15.97765224573795,16.639454275371392,32.49553261764786,1.2542991141219386,15.489671829561292,64.93130848730237,9
371,EICHERMOT,2024,24.2,26.18,22.17,0.02,114.71,0.72,890.0,2834.0,146.0,693.0,35.0,419.0,3724.0,192.0,222391.83,234358.89,15.62,13.61,19.29,4.41,488,16536.0,12206.0,4329.0,26.0,1521.0,51.0,598.0,5202.0,23.0,4001.0,146.0,35.0,469.0,3724.0,-2834.0,-844.0,45.0,567,27.0,18952.0,404.0,4997.0,24380.0,3490.0,230.0,14693.0,5968.0,24380.0,32,Consumer Discretionary,Two Wheelers,3.13,Large Cap,EICHERMOT,https://mkt.in/static/mkt-icons/nifty100/EICHERMOT.png,Eicher Motors Ltd,https://in.tradingview.com/chart/qGsydD2w/?symbol=NSE%3AAMBUJACEM.T0,"Eicher Motors Limited, incorporated in 1982, is the listed company of the Eicher Group in India and a leading player in the Indian automobile industry and the global leader in middleweight motorcycles.
Eicher has a joint venture with Sweden's AB Volvo to create Volvo Eicher Commercial Vehicles Limited (VECV). VECV is engaged in truck and bus operations, auto components business, and technical",https://www.eicher.in/,https://www.nseindia.com/get-quotes/equity?symbol=EICHERMOT,https://www.bseindia.com/stock-share-price/eicher-motors-ltd/EICHERMOT/505200/,1.0,693.0,31.1,24.2,9.02825344217768,21.3763534266848,,0.9307673081729567,25.50238079750391,63.410146596695505,10
