company_id,broad_sector,metric,value,z_score
INDIGO,Consumer Discretionary,return_on_equity_pct,892.57,3.4719023097406536
INDIGO,Consumer Discretionary,opm_percentage,16331.0,3.3023406873834804
ADANIGREEN,Energy,roce_percentage,96.5,3.2470893487355137
ADANIGREEN,Energy,debt_to_equity,6.6,3.142487730251606
PNB,Financials,return_on_equity_pct,61.32,3.2493250353415113
LICI,Financials,roce_percentage,63.79,4.115262473657783
JIOFIN,Financials,revenue_cagr,4022.222222222222,4.477129547812217
JIOFIN,Financials,pat_cagr,5077.419354838709,4.476814586220461
HDFCBANK,Financials,opm_percentage,-44685.0,-3.526817384167847
BAJAJHLDNG,Financials,net_profit_margin_pct,432.73,4.389873949537653
