company_id,previous_year_pattern,latest_year_pattern,change_summary
ADANIENSOL,Reinvestor,Cash Cow / Self-Sustaining,Moved from Reinvestor to Cash Cow / Self-Sustaining
ADANIENT,Cash Cow / Self-Sustaining,Reinvestor,Moved from Cash Cow / Self-Sustaining to Reinvestor
ADANIGREEN,Reinvestor,Cash Cow / Self-Sustaining,Moved from Reinvestor to Cash Cow / Self-Sustaining
AXISBANK,Reinvestor,Distress Signal,Moved from Reinvestor to Distress Signal
BANKBARODA,High Risk / Bleeding,Distress Signal,Moved from High Risk / Bleeding to Distress Signal
BEL,Deleveraging,Cash Cow / Self-Sustaining,Moved from Deleveraging to Cash Cow / Self-Sustaining
BRITANNIA,Cash Cow / Self-Sustaining,Deleveraging,Moved from Cash Cow / Self-Sustaining to Deleveraging
CANBK,Distress Signal,Cash Cow / Self-Sustaining,Moved from Distress Signal to Cash Cow / Self-Sustaining
DLF,Cash Cow / Self-Sustaining,Reinvestor,Moved from Cash Cow / Self-Sustaining to Reinvestor
GAIL,Reinvestor,Cash Cow / Self-Sustaining,Moved from Reinvestor to Cash Cow / Self-Sustaining
GODREJCP,Cash Cow / Self-Sustaining,Reinvestor,Moved from Cash Cow / Self-Sustaining to Reinvestor
HAVELLS,Deleveraging,Cash Cow / Self-Sustaining,Moved from Deleveraging to Cash Cow / Self-Sustaining
HDFCBANK,Reinvestor,Deleveraging,Moved from Reinvestor to Deleveraging
HDFCLIFE,Reinvestor,Cash Cow / Self-Sustaining,Moved from Reinvestor to Cash Cow / Self-Sustaining
ICICIBANK,Distress Signal,Reinvestor,Moved from Distress Signal to Reinvestor
ICICIPRULI,Cash Cow / Self-Sustaining,Liquidating,Moved from Cash Cow / Self-Sustaining to Liquidating
INDUSINDBK,Distress Signal,High Risk / Bleeding,Moved from Distress Signal to High Risk / Bleeding
IRFC,Distress Signal,Cash Cow / Self-Sustaining,Moved from Distress Signal to Cash Cow / Self-Sustaining
ITC,Cash Cow / Self-Sustaining,Deleveraging,Moved from Cash Cow / Self-Sustaining to Deleveraging
JINDALSTEL,Cash Cow / Self-Sustaining,Reinvestor,Moved from Cash Cow / Self-Sustaining to Reinvestor
JIOFIN,Cash Cow / Self-Sustaining,Liquidating,Moved from Cash Cow / Self-Sustaining to Liquidating
KOTAKBANK,Distress Signal,Reinvestor,Moved from Distress Signal to Reinvestor
LODHA,Deleveraging,Reinvestor,Moved from Deleveraging to Reinvestor
LT,Cash Cow / Self-Sustaining,Deleveraging,Moved from Cash Cow / Self-Sustaining to Deleveraging
MOTHERSON,Cash Cow / Self-Sustaining,Reinvestor,Moved from Cash Cow / Self-Sustaining to Reinvestor
PNB,Reinvestor,Distress Signal,Moved from Reinvestor to Distress Signal
RELIANCE,Reinvestor,Cash Cow / Self-Sustaining,Moved from Reinvestor to Cash Cow / Self-Sustaining
SHRIRAMFIN,Asset Seller,Distress Signal,Moved from Asset Seller to Distress Signal
SUNPHARMA,Reinvestor,Cash Cow / Self-Sustaining,Moved from Reinvestor to Cash Cow / Self-Sustaining
TATACONSUM,Cash Cow / Self-Sustaining,Reinvestor,Moved from Cash Cow / Self-Sustaining to Reinvestor
TATAPOWER,Reinvestor,Cash Cow / Self-Sustaining,Moved from Reinvestor to Cash Cow / Self-Sustaining
TITAN,Reinvestor,Cash Cow / Self-Sustaining,Moved from Reinvestor to Cash Cow / Self-Sustaining
TORNTPHARM,Reinvestor,Cash Cow / Self-Sustaining,Moved from Reinvestor to Cash Cow / Self-Sustaining
