KPI,P10,P25,P50,P75,P90,Mean,Std
return_on_equity_pct,8.37,11.67,16.72,26.005000000000003,48.28,123.89703296703296,637.1448269925144
roce_percentage,6.981,10.1,16.84,26.86,40.17500000000001,22.640333333333334,23.563446908818733
debt_to_equity,0.01,0.055,0.43,1.595,6.45,1.6682417582417584,2.8632159826191534
pe_ratio,15.62,29.855,46.1,59.31,69.98,43.95274725274726,20.145049960829038
pb_ratio,3.24,4.535,7.65,10.05,12.38,7.53934065934066,3.6215523995466063
revenue_cagr,5.80115478935501,7.861490638821655,12.047621369016015,16.10439016639392,20.245587728935476,57.22475909346409,422.70733163714254
pat_cagr,6.276424974951569,9.425931069584559,13.190071553549942,20.571804647248214,25.466776746663687,74.43428393493926,549.214297185399
free_cash_flow_cagr,1.7608775325557384,8.674914145052593,15.440243897514216,24.301183452473786,32.369317480909544,17.539033823467292,18.172354538350795
opm_percentage,8.9,14.0,24.0,44.5,4146.600000000004,902.5777777777778,8467.717857095015
net_profit_margin_pct,4.61,7.23,14.13,20.365,29.28,20.062307692307694,45.43136880264617
