id_x,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,id_market,market_cap_crore,enterprise_value_crore,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct,id_pl,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,id_cf,operating_activity,investing_activity,financing_activity,net_cash_flow,id_bs,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,id_y,broad_sector,sub_sector,index_weight_pct,market_cap_category,id,company_logo,company_name,chart_link,about_company,website,nse_profile,bse_profile,face_value,book_value,roce_percentage,roe_percentage,revenue_cagr,pat_cagr,free_cash_flow_cagr,cfo_pat_ratio,composite_score,rank
580,IRCTC,2024,26.02,34.33,34.4,0.02,82.74,0.7,667.0,215.0,14.0,44.0,47.0,60.0,882.0,306.0,1258520.29,1473943.68,60.44,5.74,32.47,1.08,745,4270.0,2804.0,1466.0,34.0,106.0,19.0,57.0,1496.0,26.0,1111.0,14.0,47.0,690.0,882.0,-215.0,-404.0,262.0,818,160.0,3363.0,42.0,3234.0,6800.0,314.0,466.0,15.0,6005.0,6800.0,51,Consumer Discretionary,Travel & Tourism,3.97,Mid Cap,IRCTC,https://mkt.in/static/mkt-icons/nifty100/IRCTC.png,Indian Railway Catering & Tourism Corporation Ltd,https://in.tradingview.com/chart/?symbol=NSE%3AIRCTC,"Incorporated in 1999, IRCTC is a Mini Ratna (Category 1, Central Public Sector Enterprises ) and the only company authorized by the Indian government to provide online railway tickets, catering services, and packaged drinking water
at railway stations and trains in India",http://www.irctc.com/,https://www.nseindia.com/get-quotes/equity?symbol=IRCTC,https://www.bseindia.com/stock-share-price/indian-railway-catering-tourism-corporation-ltd/IRCTC/542830/,2.0,44.0,53.8,40.4,16.75656887152892,26.81198686210522,45.37464474156747,0.7938793879387939,87.72072535553819,1
12,ABB,2024,20.53,24.84,32.47,0.02,141.75,1.13,797.0,416.0,565.0,1657.0,73.0,83.0,1213.0,6.0,1536236.24,1619349.16,75.58,4.48,12.63,0.96,72,5849.0,4396.0,1453.0,25.0,248.0,12.0,71.0,1618.0,26.0,1201.0,565.0,73.0,83.0,6038.0,-4943.0,-543.0,551.0,148,21.0,3500.0,60.0,1481.0,5063.0,216.0,13.0,0.0,4834.0,5063.0,1,Industrials,Capital Goods,0.81,Large Cap,ABB,https://mkt.in/static/mkt-icons/nifty100/ABB.png,Abbott India Ltd,https://in.tradingview.com/chart/?symbol=NSE%3AABBOTINDIA,Abbott India Ltd is one of the leading multinational pharmaceutical companies in India and sells its products through independent distributors primarily within India.,https://www.abbott.co.in/,https://www.nseindia.com/get-quotes/equity?symbol=ABBOTINDIA,https://www.bseindia.com/stock-share-price/abbott-india-ltd/ABBOTINDIA/500488/,10.0,1657.0,46.0,34.9,12.1738707400457,21.191023990902647,30.677501093386518,5.027477102414655,85.46733678680873,2
1055,INDIGO,2024,11.85,76.3,892.57,0.02,22.61,56.39,9424.0,11759.0,212.0,97.0,0.0,17.0,21183.0,282.0,1040632.92,1061542.29,76.23,7.87,24.64,4.27,1373,68904.0,4805.0,52573.0,16331.0,24.0,2326.0,6406.0,8043.0,-2.0,8167.0,212.0,0.0,644.0,21183.0,-11759.0,-9979.0,-555.0,769,48.0,905.0,20.0,266.0,1239.0,570.0,64.0,178.0,427.0,1239.0,47,Consumer Discretionary,Airlines,3.03,Large Cap,INDIGO,https://rb.gy/rv6gr8,Interglobe Aviation Ltd,https://in.tradingview.com/chart/?symbol=NSE%3AINDIGO,"Interglobe Aviation Ltd (Indigo) is India's largest passenger airline operating as a low-cost carrier. Serving 86 destinations including 24 international destinations, it provides passengers with a simple, unbundled product, fulfilling its singular brand promise of providing \""low fares, on-time flights, and a courteous and hassle-free service\"" to its customers. IndiGo commenced operations in August 2006 with a single aircraft and has grown its fleet to 262 aircrafts.",http://www.goindigo.in/,https://www.nseindia.com/get-quotes/equity?symbol=INDIGO,https://www.bseindia.com/stock-share-price/interglobe-aviation-ltd/INDIGO/539448/,10.0,97.0,24.5,,20.083457250362848,23.700547063638933,,2.5937308681278317,72.2209720896724,3
415,HAL,2023,21.58,24.77,3283.05,0.27,130.33,99.37,3102.0,5734.0,87.0,465.0,32.0,47.0,8836.0,215.0,2122373.86,2704291.55,11.8,2.43,27.48,3.62,539,26928.0,20258.0,6669.0,25.0,1672.0,64.0,1784.0,6493.0,10.0,5811.0,87.0,32.0,512.0,8836.0,-5734.0,-1731.0,1370.0,614,5.0,172.0,47.0,47.0,271.0,57.0,23.0,35.0,156.0,271.0,36,Industrials,Defence & Aerospace,1.6,Large Cap,HAL,https://mkt.in/static/mkt-icons/nifty100/HAL.png,Hindustan Aeronautics Ltd,https://in.tradingview.com/chart/qGsydD2w/?symbol=NSE%3AAMBUJACEM.T0,"Hindustan Aeronautics is engaged in the business of Manufacture of Aircraft and Helicopters and Repair, Maintenance of Aircraft and Helicopters",https://hal-india.co.in/,https://www.nseindia.com/get-quotes/equity?symbol=HAL,https://www.bseindia.com/stock-share-price/hindustan-aeronautics-ltd/HAL/541154/,5.0,465.0,38.9,28.9,7.720282781323262,18.165728505247316,,1.5205644467389434,69.82324886224146,4
983,TCS,2024,19.14,26.69,50.94,0.09,87.1,1.66,38247.0,6091.0,127.0,281.0,58.0,8021.0,44338.0,522.0,461188.15,542230.13,78.69,6.08,29.94,1.62,1196,240893.0,176597.0,64296.0,27.0,3464.0,778.0,4985.0,61997.0,26.0,46099.0,127.0,58.0,1109.0,44338.0,6091.0,-48536.0,1893.0,1426,362.0,101133.0,9046.0,50583.0,161124.0,20729.0,1500.0,36081.0,102814.0,161124.0,87,Information Technology,IT Services,1.1,Large Cap,TCS,https://images.5paisa.com/MarketIcons/TCS.png,Tata Consultancy Services Ltd,https://www.tradingview.com/chart/?symbol=NSE%3ATCS,"Tata Consultancy Services is the flagship company and a part of Tata group. It is an IT services, consulting and business solutions organization that has been partnering with many of the world's largest businesses in their transformation journeys for over 50 years. TCS offers a consulting-led, cognitive powered, integrated portfolio of business, technology and engineering services and solutions.",https://www.tcs.com/,https://www.nseindia.com/get-quotes/equity?symbol=TCS,https://www.bseindia.com/stock-share-price/tata-consultancy-services-ltd/TCS/532540/,1.0,281.0,64.3,0.52,12.969173527526845,11.387761678665665,19.12910655392772,0.9617996051975097,69.57341904227393,5
694,LTIM,2022,15.13,20.1,27.65,0.02,48.9,1.27,1608.0,1643.0,225.0,711.0,41.0,258.0,3251.0,370.0,1202160.21,1208511.88,45.11,12.85,11.47,0.47,870,26109.0,20860.0,5249.0,20.0,766.0,123.0,597.0,5294.0,25.0,3950.0,225.0,41.0,807.0,3251.0,-1643.0,-1680.0,-73.0,958,30.0,14258.0,258.0,6027.0,20572.0,3473.0,503.0,6048.0,10548.0,20572.0,62,Information Technology,IT Services,2.64,Large Cap,LTIM,,LTIMindtree Ltd,https://mkt.in/static/mkt-icons/nifty100/ABB.png,"LTIMindtree Limited is an Indian multinational information technology services and consulting company based in Mumbai. A subsidiary of Larsen & Toubro, the company was incorporated in 1996 and employs more than 81,000 people",https://www.ltimindtree.com/,https://www.nseindia.com/get-quotes/equity?symbol=LTIM,https://www.bseindia.com/stock-share-price/ltimindtree-ltd/ltim/540005/,1.0,711.0,34.1,26.04,22.38122500495996,21.02441783355038,14.796205839600551,0.8230379746835443,68.41494427077423,6
985,TECHM,2014,16.29,22.19,33.35,0.04,55.2,1.18,1305.0,291.0,32.0,270.0,15.0,363.0,1596.0,,,,,,,,1199,18802.0,14630.0,4172.0,22.0,244.0,80.0,522.0,3815.0,20.0,3062.0,32.0,15.0,1111.0,1596.0,291.0,-972.0,915.0,1441,234.0,8948.0,363.0,6394.0,15940.0,2594.0,266.0,1472.0,11607.0,15940.0,88,Information Technology,IT Services,2.39,Large Cap,TECHM,https://mkt.in/static/mkt-icons/nifty100/TECHM.png,Tech Mahindra Ltd,https://in.tradingview.com/chart/qGsydD2w/?symbol=NSE%3AAMBUJACEM.T0,"Tech Mahindra Ltd provides comprehensive range of IT services, including IT enabled service, application development and",https://www.techmahindra.com/,https://www.nseindia.com/get-quotes/equity?symbol=TECHM,https://www.bseindia.com/stock-share-price/tech-mahindra-ltd/TECHM/532755/,5.0,270.0,11.9,8.63,20.196841001530764,5.668311519254132,32.28517405641733,0.5212279555845852,65.92185203509267,7
371,EICHERMOT,2024,24.2,26.18,22.17,0.02,114.71,0.72,890.0,2834.0,146.0,693.0,35.0,419.0,3724.0,192.0,222391.83,234358.89,15.62,13.61,19.29,4.41,488,16536.0,12206.0,4329.0,26.0,1521.0,51.0,598.0,5202.0,23.0,4001.0,146.0,35.0,469.0,3724.0,-2834.0,-844.0,45.0,567,27.0,18952.0,404.0,4997.0,24380.0,3490.0,230.0,14693.0,5968.0,24380.0,32,Consumer Discretionary,Two Wheelers,3.13,Large Cap,EICHERMOT,https://mkt.in/static/mkt-icons/nifty100/EICHERMOT.png,Eicher Motors Ltd,https://in.tradingview.com/chart/qGsydD2w/?symbol=NSE%3AAMBUJACEM.T0,"Eicher Motors Limited, incorporated in 1982, is the listed company of the Eicher Group in India and a leading player in the Indian automobile industry and the global leader in middleweight motorcycles.
Eicher has a joint venture with Sweden's AB Volvo to create Volvo Eicher Commercial Vehicles Limited (VECV). VECV is engaged in truck and bus operations, auto components business, and technical",https://www.eicher.in/,https://www.nseindia.com/get-quotes/equity?symbol=EICHERMOT,https://www.bseindia.com/stock-share-price/eicher-motors-ltd/EICHERMOT/505200/,1.0,693.0,31.1,24.2,9.02825344217768,21.3763534266848,,0.9307673081729567,63.410146596695505,8
102,ASIANPAINT,2024,15.66,21.37,29.68,0.13,41.0,1.19,3556.0,2548.0,57.0,188.0,58.0,2474.0,6104.0,54.0,2126725.18,2475080.63,73.37,3.9,23.94,2.42,196,35495.0,27910.0,7585.0,21.0,821.0,205.0,853.0,7348.0,24.0,5558.0,57.0,58.0,174.0,6104.0,-2548.0,-2982.0,573.0,278,96.0,17928.0,2516.0,8934.0,29474.0,7879.0,2272.0,3695.0,15629.0,29474.0,9,Materials,Paints & Coatings,1.13,Large Cap,ASIANPAINT,https://mkt.in/static/mkt-icons/nifty100/ASIANPAINT.png,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",https://in.tradingview.com/chart/?symbol=NSE%3AASIANPAINT,"Asian Paints Ltd is an Indian multinational paint company, headquartered in Mumbai. The company is engaged in the business of manufacturing, selling and distribution of paints, coatings, products related to home decor, bath fittings and providing related services.",https://www.asianpaints.com/,https://www.nseindia.com/get-quotes/equity?symbol=ASIANPAINT,https://www.bseindia.com/stock-share-price/asian-paints-ltd/asianpaint/500820/,1.0,188.0,41.75,31.45,11.705320941335007,15.308162187698926,15.56823256217168,1.0982367758186398,62.81265826219569,9
439,HCLTECH,2024,14.29,22.02,23.01,0.08,46.46,1.11,15840.0,6608.0,58.0,254.0,90.0,5758.0,22448.0,228.0,412593.29,461362.25,63.63,5.44,31.21,1.99,566,109913.0,85715.0,24198.0,22.0,1495.0,553.0,4173.0,20967.0,25.0,15710.0,58.0,90.0,537.0,22448.0,-6608.0,-15464.0,376.0,642,543.0,68332.0,5791.0,25097.0,99763.0,34480.0,172.0,7642.0,57469.0,99763.0,38,Information Technology,IT Services,2.5,Large Cap,HCLTECH,https://mkt.in/static/mkt-icons/nifty100/HCLTECH.png,HCL Technologies Ltd,https://in.tradingview.com/chart/qGsydD2w/?symbol=NSE%3AAMBUJACEM.T0,"HCL Tech is a leading global IT services company, which is ranked amongst the top five Indian IT services companies in terms of revenues. Since its inception into the global landscape after its IPO in 1999, HCL Tech has focused on transformational outsourcing, and offers an integrated portfolio of services including software-led IT solutions, remote infrastructure management, engineering and R&D services and BPO. The company leverages its extensive global offshore infrastructure and network of offices in 46",https://www.hcltech.com/,https://www.nseindia.com/get-quotes/equity?symbol=HCLTECH,https://www.bseindia.com/stock-share-price/hcl-technologies-ltd/HCLTECH/532281/,2.0,254.0,29.6,23.3,15.694617451413517,14.545882358679417,22.212934647485973,1.428898790579249,62.783598406724145,10
