company_id,company_name,sector,P/E,P/B,EV/EBITDA,FCF_yield_pct,5yr_median_PE,PE_vs_sector_median_pct,flag
ABB,,Industrials,75.58,4.48,12.63,0.051880041574855706,75.58,60.27992789735976,Caution
BAJAJFINSV,,Financials,15.07,6.08,39.72,-4.180016339930263,15.07,-55.10872803098004,Discount
BAJFINANCE,,Financials,69.2,4.11,15.96,-3.2317922805711454,69.2,106.13643133750372,Caution
BANKBARODA,,Financials,16.89,4.15,24.7,-1.279081332956056,16.89,-49.687220732797144,Discount
BEL,,Industrials,17.89,9.22,23.14,-0.09337302073000636,17.89,-62.06128724419469,Discount
BHEL,,Industrials,29.8,11.43,21.59,-0.9339809354196809,29.8,-36.804156505142615,Discount
BOSCHLTD,,Consumer Discretionary,58.43,6.47,16.07,0.03731406368406637,58.43,53.74292856203131,Caution
BPCL,,Energy,68.15,0.72,26.59,5.422883218663305,68.15,51.731047534231344,Caution
CHOLAFIN,,Financials,16.79,10.36,13.52,-3.9650923712808046,16.79,-49.98510574918081,Discount
COALINDIA,,Materials,34.27,14.75,25.15,2.9991751112119767,34.27,-38.38547285149227,Discount
DMART,,Consumer Discretionary,72.53,11.71,36.84,0.00910553222430331,72.53,90.84331009077754,Caution
DRREDDY,,Healthcare,11.73,10.19,14.56,0.020845250072724943,11.73,-75.07437314067148,Discount
EICHERMOT,,Consumer Discretionary,15.62,13.61,19.29,0.4001945575069012,15.62,-58.900144717800295,Discount
GAIL,,Energy,25.84,9.54,33.07,0.28461990353382827,25.84,-42.46910831570745,Discount
GODREJCP,,Consumer Staples,33.59,8.07,23.55,-0.10280184353453976,33.59,-34.07262021589793,Discount
GRASIM,,Industrials,79.35,5.68,15.23,-7.063967310949983,79.35,68.27483829922593,Caution
HAL,,Industrials,71.89,3.65,8.76,0.06861811283803056,71.89,52.454670766620715,Caution
HDFCLIFE,,Financials,50.59,11.28,31.63,-6.151706657367163,50.59,50.70002978850165,Caution
HINDUNILVR,,Consumer Staples,34.51,11.88,7.52,1.8482736240750641,34.51,-32.26692836113838,Discount
ICICIPRULI,,Financials,20.83,12.38,22.57,-0.9226746946148704,20.83,-37.95055108728032,Discount
INDIGO,,Consumer Discretionary,76.23,7.87,24.64,0.9056027172386589,76.23,100.57887120115777,Caution
INDUSINDBK,,Financials,8.99,3.7,28.79,-0.9664534641259643,8.99,-73.22013702710754,Discount
INFY,,Information Technology,35.99,8.97,36.7,1.808627454139422,35.99,-43.43862957724344,Discount
IOC,,Energy,28.61,4.24,33.71,2.794810104975634,28.61,-36.30190359568073,Discount
IRCTC,,Consumer Discretionary,60.44,5.74,32.47,0.05299874823631171,60.44,59.03170635442703,Caution
IRFC,,Financials,9.81,3.91,16.66,0.3019460457018293,9.81,-70.77747989276139,Discount
JSWENERGY,,Energy,24.79,9.88,35.95,-1.7705336124937798,24.79,-44.80685739730602,Discount
LT,,Industrials,30.8,2.48,16.63,1.4304673449834275,30.8,-34.68349061605343,Discount
M&M,,Consumer Discretionary,14.22,0.81,29.08,-0.2694648852484086,14.22,-62.58387054334956,Discount
MARUTI,,Consumer Discretionary,20.78,8.26,29.97,0.3282212496887102,20.78,-45.3229838179187,Discount
MOTHERSON,,Consumer Discretionary,9.54,2.38,33.39,0.6329063689949501,9.54,-74.89803973161426,Discount
NAUKRI,,Communication Services,32.88,8.33,11.87,-0.026604025891463663,32.88,-31.967721911855985,Discount
NHPC,,Energy,71.17,13.74,18.26,0.05573417784977254,71.17,58.454859178448196,Caution
NTPC,,Energy,30.8,5.24,37.12,0.9521678733206076,30.8,-31.42602693977513,Discount
ONGC,,Energy,18.15,10.36,11.72,10.781545408672736,18.15,-59.59033730379606,Discount
PIDILITIND,,Materials,36.12,12.3,5.36,0.588510137595519,36.12,-35.05933117583603,Discount
PNB,,Financials,19.29,10.91,23.64,-1.6126067787208855,19.29,-42.53798033958892,Discount
SBILIFE,,Financials,69.98,9.48,31.04,-0.23688132542403253,69.98,108.45993446529643,Caution
SHREECEM,,Materials,25.87,1.21,26.58,0.06115348347250073,25.87,-53.48795397339086,Discount
SHRIRAMFIN,,Financials,68.53,7.91,28.82,-3.608906905151208,68.53,104.1406017277331,Caution
TATAMOTORS,,Consumer Discretionary,67.07,0.93,15.35,3.000651602734764,67.07,76.47677937113535,Caution
TATAPOWER,,Energy,14.5,3.48,12.02,0.2166615750083587,14.5,-67.71679839697205,Discount
TITAN,,Consumer Discretionary,10.13,10.51,21.0,0.0839572651499547,10.13,-73.3456124194185,Discount
TRENT,,Consumer Discretionary,8.65,11.82,34.65,0.14720244295143942,8.65,-77.23983686357059,Discount
